originalNodeId,canonicalNodeId,name,merged
201001198,201001198,袋泡红茶,false
201004307,201004307,袋装螺蛳粉,false
201005130,201005130,西兰花,false
201003876,201003876,西洋参,false
201004005,201003876,西洋参,true
201003210,201003210,西红柿,false
201003225,201003210,西红柿,true
201003845,201003210,西红柿,true
201004748,201003210,西红柿,true
201005053,201003210,西红柿,true
201005182,201003210,西红柿,true
201005229,201003210,西红柿,true
201005529,201003210,西红柿,true
201005654,201003210,西红柿,true
201005672,201003210,西红柿,true
201004808,201004808,西葫芦,false
201005670,201004808,西葫芦,true
201005642,201005642,西蓝花,false
201005686,201005686,话梅,false
201004438,201004438,谷朊粉,false
201004045,201004045,豆制品（豆腐皮等）,false
201003373,201003373,豆干,false
201003583,201003583,豆母子,false
201000242,201000242,豆瓣酱,false
201000432,201000242,豆瓣酱,true
201001573,201000242,豆瓣酱,true
201001599,201000242,豆瓣酱,true
201002088,201000242,豆瓣酱,true
201002166,201000242,豆瓣酱,true
201002227,201000242,豆瓣酱,true
201002342,201000242,豆瓣酱,true
201002357,201000242,豆瓣酱,true
201002475,201000242,豆瓣酱,true
201002802,201000242,豆瓣酱,true
201003287,201000242,豆瓣酱,true
201003405,201000242,豆瓣酱,true
201003469,201000242,豆瓣酱,true
201004143,201000242,豆瓣酱,true
201004608,201000242,豆瓣酱,true
201004905,201000242,豆瓣酱,true
201003013,201003013,豆皮,false
201003918,201003918,豆腐,false
201004842,201003918,豆腐,true
201005656,201003918,豆腐,true
201002799,201002799,豆芽,false
201004805,201002799,豆芽,true
201001992,201001992,豆蔻,false
201004769,201004769,豆角,false
201005032,201004769,豆角,true
201005227,201004769,豆角,true
201000044,201000044,豆豉,false
201001572,201000044,豆豉,true
201002044,201000044,豆豉,true
201003259,201000044,豆豉,true
201004714,201000044,豆豉,true
201003831,201003831,豌豆,false
201004408,201004408,豌豆淀粉,false
201001124,201001124,赤藓糖醇,false
201003180,201003180,辣椒,false
201003377,201003180,辣椒,true
201005386,201003180,辣椒,true
201001712,201001712,辣椒油,false
201002704,201001712,辣椒油,true
201003548,201001712,辣椒油,true
201004161,201001712,辣椒油,true
201004375,201001712,辣椒油,true
201004849,201001712,辣椒油,true
201004871,201001712,辣椒油,true
201001839,201001839,辣椒粉,false
201002258,201001839,辣椒粉,true
201004122,201001839,辣椒粉,true
201004411,201001839,辣椒粉,true
201003447,201003447,辣椒面,false
201002392,201002392,通心粉,false
201000614,201000614,速冻水饺,false
201003619,201000614,速冻水饺,true
201003677,201003677,速冻汤圆,false
201003632,201003632,速冻馄饨,false
201002587,201002587,郫县红油豆瓣酱,false
201000172,201000172,郫县豆瓣,false
201003576,201000172,郫县豆瓣,true
201000464,201000464,郫县豆瓣酱,false
201001897,201000464,郫县豆瓣酱,true
201002016,201000464,郫县豆瓣酱,true
201002535,201000464,郫县豆瓣酱,true
201002745,201000464,郫县豆瓣酱,true
201003288,201003288,酒糟,false
201000029,201000029,酱油,false
201000065,201000029,酱油,true
201000082,201000029,酱油,true
201000280,201000029,酱油,true
201000832,201000029,酱油,true
201001536,201000029,酱油,true
201001636,201000029,酱油,true
201001786,201000029,酱油,true
201001801,201000029,酱油,true
201002043,201000029,酱油,true
201002132,201000029,酱油,true
201002167,201000029,酱油,true
201002518,201000029,酱油,true
201002614,201000029,酱油,true
201003206,201000029,酱油,true
201003363,201000029,酱油,true
201003399,201000029,酱油,true
201003491,201000029,酱油,true
201003754,201000029,酱油,true
201004062,201000029,酱油,true
201004163,201000029,酱油,true
201004187,201000029,酱油,true
201004318,201000029,酱油,true
201004391,201000029,酱油,true
201004412,201000029,酱油,true
201004550,201000029,酱油,true
201004680,201000029,酱油,true
201004753,201000029,酱油,true
201004830,201000029,酱油,true
201004888,201000029,酱油,true
201005006,201000029,酱油,true
201005060,201000029,酱油,true
201005097,201000029,酱油,true
201005456,201000029,酱油,true
201005495,201000029,酱油,true
201005697,201000029,酱油,true
201000956,201000956,酵母,false
201004653,201004653,酵母粉,false
201001222,201001222,酸梅晶固体饮料,false
201004712,201004712,酸笋,false
201001700,201001700,酸菜,false
201004155,201004155,酸豆角,false
201000081,201000081,醋,false
201001533,201000081,醋,true
201001918,201000081,醋,true
201002082,201000081,醋,true
201002266,201000081,醋,true
201003467,201000081,醋,true
201003949,201000081,醋,true
201004202,201000081,醋,true
201004376,201000081,醋,true
201004413,201000081,醋,true
201004831,201000081,醋,true
201004847,201000081,醋,true
201004868,201000081,醋,true
201004887,201000081,醋,true
201005320,201000081,醋,true
201004333,201004333,醪糟,false
201001917,201001917,里脊肉,false
201002074,201001917,里脊肉,true
201001090,201001090,重奶油,false
201002515,201002515,野山椒,false
201002532,201002515,野山椒,true
201001160,201001160,金色朗姆酒,false
201004670,201004670,金菇,false
201001231,201001231,金酒,false
201001399,201001231,金酒,true
201001416,201001231,金酒,true
201003863,201003863,金针菇,false
201004864,201003863,金针菇,true
201005213,201003863,金针菇,true
201005293,201003863,金针菇,true
201003990,201003990,银耳,false
201005558,201005558,闽星茶树菇,false
201000185,201000185,阿根廷红虾,false
201001389,201001389,陈皮,false
201003601,201001389,陈皮,true
201003875,201001389,陈皮,true
201004004,201001389,陈皮,true
201000114,201000114,陈醋,false
201000136,201000114,陈醋,true
201000441,201000114,陈醋,true
201001656,201000114,陈醋,true
201005203,201000114,陈醋,true
201005259,201000114,陈醋,true
201004810,201004810,雪碧,false
201001157,201001157,青柠,false
201000438,201000438,青椒,false
201001431,201000438,青椒,true
201001502,201000438,青椒,true
201001552,201000438,青椒,true
201002036,201000438,青椒,true
201002058,201000438,青椒,true
201002076,201000438,青椒,true
201002125,201000438,青椒,true
201002164,201000438,青椒,true
201002578,201000438,青椒,true
201003027,201000438,青椒,true
201003356,201000438,青椒,true
201004239,201000438,青椒,true
201004750,201000438,青椒,true
201005198,201000438,青椒,true
201005253,201000438,青椒,true
201005610,201000438,青椒,true
201002354,201002354,青红椒,false
201002533,201002533,青红辣椒,false
201003106,201003106,青芥末,false
201000166,201000166,青花椒,false
201000234,201000166,青花椒,true
201001465,201000166,青花椒,true
201001763,201000166,青花椒,true
201005050,201005050,青茄子,false
201004065,201004065,青菜,false
201004451,201004065,青菜,true
201005020,201004065,青菜,true
201002104,201002104,青菜（油菜、油麦菜、菠菜）,false
201004046,201004046,青菜（生菜菠菜等）,false
201000025,201000025,青葱（葱白）,false
201000026,201000026,青葱（葱绿）,false
201000002,201000002,青蟹,false
201004267,201004267,青豆,false
201004483,201004267,青豆,true
201005051,201005051,青辣椒,false
201005096,201005051,青辣椒,true
201005115,201005051,青辣椒,true
201004185,201004185,面,false
201000656,201000656,面包片,false
201000982,201000982,面包糠,false
201003536,201003536,面筋,false
201004098,201004098,面筋块,false
201000301,201000301,面粉,false
201000552,201000301,面粉,true
201000769,201000301,面粉,true
201001033,201000301,面粉,true
201001621,201000301,面粉,true
201001733,201000301,面粉,true
201002398,201000301,面粉,true
201003687,201000301,面粉,true
201004018,201000301,面粉,true
201004347,201000301,面粉,true
201004385,201000301,面粉,true
201004637,201000301,面粉,true
201004652,201000301,面粉,true
201005057,201000301,面粉,true
201004041,201004041,面食,false
201004809,201004809,韩式辣酱,false
201004030,201004030,韭菜,false
201004342,201004030,韭菜,true
201003585,201003585,颗粒香料,false
201004392,201004392,风味调料,false
300000000,300000000,食材,false
201001984,201001984,食用植物油,false
201000009,201000009,食用油,false
201000226,201000009,食用油,true
201000261,201000009,食用油,true
201000278,201000009,食用油,true
201000368,201000009,食用油,true
201000389,201000009,食用油,true
201000414,201000009,食用油,true
201000437,201000009,食用油,true
201000454,201000009,食用油,true
201000487,201000009,食用油,true
201000500,201000009,食用油,true
201000575,201000009,食用油,true
201000615,201000009,食用油,true
201000710,201000009,食用油,true
201000926,201000009,食用油,true
201000985,201000009,食用油,true
201001460,201000009,食用油,true
201001579,201000009,食用油,true
201001647,201000009,食用油,true
201001784,201000009,食用油,true
201001879,201000009,食用油,true
201001968,201000009,食用油,true
201002019,201000009,食用油,true
201002045,201000009,食用油,true
201002090,201000009,食用油,true
201002110,201000009,食用油,true
201002149,201000009,食用油,true
201002257,201000009,食用油,true
201002286,201000009,食用油,true
201002317,201000009,食用油,true
201002343,201000009,食用油,true
201002417,201000009,食用油,true
201002498,201000009,食用油,true
201002517,201000009,食用油,true
201002543,201000009,食用油,true
201002564,201000009,食用油,true
201002590,201000009,食用油,true
201002630,201000009,食用油,true
201002780,201000009,食用油,true
201002828,201000009,食用油,true
201002839,201000009,食用油,true
201002867,201000009,食用油,true
201002928,201000009,食用油,true
201002940,201000009,食用油,true
201002959,201000009,食用油,true
201003093,201000009,食用油,true
201003115,201000009,食用油,true
201003125,201000009,食用油,true
201003142,201000009,食用油,true
201003166,201000009,食用油,true
201003187,201000009,食用油,true
201003227,201000009,食用油,true
201003251,201000009,食用油,true
201003300,201000009,食用油,true
201003339,201000009,食用油,true
201003364,201000009,食用油,true
201003383,201000009,食用油,true
201003398,201000009,食用油,true
201003492,201000009,食用油,true
201003758,201000009,食用油,true
201003853,201000009,食用油,true
201003891,201000009,食用油,true
201003921,201000009,食用油,true
201003946,201000009,食用油,true
201003961,201000009,食用油,true
201004061,201000009,食用油,true
201004081,201000009,食用油,true
201004104,201000009,食用油,true
201004142,201000009,食用油,true
201004218,201000009,食用油,true
201004247,201000009,食用油,true
201004270,201000009,食用油,true
201004471,201000009,食用油,true
201004572,201000009,食用油,true
201004596,201000009,食用油,true
201004656,201000009,食用油,true
201004737,201000009,食用油,true
201004757,201000009,食用油,true
201004771,201000009,食用油,true
201004910,201000009,食用油,true
201004932,201000009,食用油,true
201004945,201000009,食用油,true
201004962,201000009,食用油,true
201004978,201000009,食用油,true
201005021,201000009,食用油,true
201005061,201000009,食用油,true
201005083,201000009,食用油,true
201005100,201000009,食用油,true
201005118,201000009,食用油,true
201005135,201000009,食用油,true
201005171,201000009,食用油,true
201005184,201000009,食用油,true
201005205,201000009,食用油,true
201005221,201000009,食用油,true
201005239,201000009,食用油,true
201005257,201000009,食用油,true
201005277,201000009,食用油,true
201005336,201000009,食用油,true
201005373,201000009,食用油,true
201005405,201000009,食用油,true
201005424,201000009,食用油,true
201005455,201000009,食用油,true
201005474,201000009,食用油,true
201005484,201000009,食用油,true
201005494,201000009,食用油,true
201005513,201000009,食用油,true
201005540,201000009,食用油,true
201005576,201000009,食用油,true
201005586,201000009,食用油,true
201005599,201000009,食用油,true
201005632,201000009,食用油,true
201005657,201000009,食用油,true
201005673,201000009,食用油,true
201005712,201000009,食用油,true
201000228,201000228,食用盐,false
201000264,201000228,食用盐,true
201000711,201000228,食用盐,true
201001748,201000228,食用盐,true
201001876,201000228,食用盐,true
201001953,201000228,食用盐,true
201002492,201000228,食用盐,true
201002786,201000228,食用盐,true
201002927,201000228,食用盐,true
201003892,201000228,食用盐,true
201003923,201000228,食用盐,true
201003950,201000228,食用盐,true
201003966,201000228,食用盐,true
201003983,201000228,食用盐,true
201004510,201000228,食用盐,true
201005499,201000228,食用盐,true
201005563,201000228,食用盐,true
201005587,201000228,食用盐,true
201005633,201000228,食用盐,true
201005674,201000228,食用盐,true
201005687,201000228,食用盐,true
201005711,201000228,食用盐,true
201005727,201000228,食用盐,true
201000680,201000680,食盐,false
201000780,201000680,食盐,true
201001089,201000680,食盐,true
201001650,201000680,食盐,true
201001860,201000680,食盐,true
201001927,201000680,食盐,true
201001971,201000680,食盐,true
201003490,201000680,食盐,true
201003865,201000680,食盐,true
201003880,201000680,食盐,true
201004009,201000680,食盐,true
201004164,201000680,食盐,true
201004611,201000680,食盐,true
201004628,201000680,食盐,true
201004738,201000680,食盐,true
201005022,201000680,食盐,true
201000061,201000061,饮用水,false
201000541,201000061,饮用水,true
201001221,201000061,饮用水,true
201001259,201000061,饮用水,true
201003746,201000061,饮用水,true
201003819,201000061,饮用水,true
201004979,201000061,饮用水,true
201004993,201000061,饮用水,true
201005023,201000061,饮用水,true
201005136,201000061,饮用水,true
201001113,201001113,饼干,false
201000562,201000562,饼干屑,false
201004118,201004118,馒头,false
201000163,201000163,香叶,false
201000233,201000163,香叶,true
201000486,201000163,香叶,true
201000673,201000163,香叶,true
201000852,201000163,香叶,true
201001441,201000163,香叶,true
201001468,201000163,香叶,true
201001706,201000163,香叶,true
201001990,201000163,香叶,true
201002290,201000163,香叶,true
201002310,201000163,香叶,true
201002341,201000163,香叶,true
201002610,201000163,香叶,true
201002663,201000163,香叶,true
201002713,201000163,香叶,true
201002738,201000163,香叶,true
201002840,201000163,香叶,true
201002960,201000163,香叶,true
201002988,201000163,香叶,true
201003010,201000163,香叶,true
201003203,201000163,香叶,true
201003281,201000163,香叶,true
201003316,201000163,香叶,true
